States, States Codes
Andaman and Nicobar Islands	AN	IN-AN
Andhra Pradesh	AP	IN-AP
Arunachal Pradesh	AR	IN-AR
Assam	AS	IN-AS
Bihar	BR	IN-BR
Chandigarh	CH	IN-CH;CHD
Chhattisgarh	CT	IN-CT;CG
Dadra and Nagar Haveli	DN	IN-DN;DNH
Daman and Diu	DD	IN-DD
Delhi	DL	IN-DL;DEL
Goa	GA	IN-GA
Gujarat	GJ	IN-GJ;GUJ
Haryana	HR	IN-HR
Himachal Pradesh	HP	IN-HP
Jammu and Kashmir	JK	IN-JK
Jharkhand	JH	IN-JH
Karnataka	KA	IN-KA;KRN
Kerala	KL	IN-KL;KER
Lakshadweep	LD	IN-LD;LKP
Madhya Pradesh	MP	IN-MP
Maharashtra	MH	IN-MH;MAH
Manipur	MN	IN-MN;MNP
Meghalaya	ML	IN-ML;MEG
Mizoram	MZ	IN-MZ;MIZ
Nagaland	NL	IN-NL;NLD
Odisha	OR	IN-OR;OD;Orissa
Puducherry	PY	IN-PY;PDY
Punjab	PB	IN-PB
Rajasthan	RJ	IN-RJ;RAJ
